Iteration	MSE
1	0.076433
2	0.062447
3	0.049065
4	0.039525
5	0.035188
6	0.034051
7	0.033870
8	0.033849
9	0.033846
10	0.033844
11	0.033843
12	0.033842
13	0.033841
14	0.033840
15	0.033839
16	0.033838
17	0.033837
18	0.033836
19	0.033835
20	0.033834
21	0.033833
22	0.033832
23	0.033830
24	0.033829
25	0.033828
26	0.033827
27	0.033826
28	0.033825
29	0.033824
30	0.033823
31	0.033822
32	0.033821
33	0.033820
34	0.033819
35	0.033818
36	0.033817
37	0.033816
38	0.033814
39	0.033813
40	0.033812
41	0.033811
42	0.033810
43	0.033809
44	0.033808
45	0.033807
46	0.033806
47	0.033805
48	0.033804
49	0.033803
50	0.033802
51	0.033800
52	0.033799
53	0.033798
54	0.033797
55	0.033796
56	0.033795
57	0.033794
58	0.033793
59	0.033792
60	0.033791
61	0.033790
62	0.033789
63	0.033787
64	0.033786
65	0.033785
66	0.033784
67	0.033783
68	0.033782
69	0.033781
70	0.033780
71	0.033779
72	0.033778
73	0.033777
74	0.033775
75	0.033774
76	0.033773
77	0.033772
78	0.033771
79	0.033770
80	0.033769
81	0.033768
82	0.033767
83	0.033766
84	0.033764
85	0.033763
86	0.033762
87	0.033761
88	0.033760
89	0.033759
90	0.033758
91	0.033757
92	0.033756
93	0.033755
94	0.033753
95	0.033752
96	0.033751
97	0.033750
98	0.033749
99	0.033748
100	0.033747
101	0.033746
102	0.033745
103	0.033743
104	0.033742
105	0.033741
106	0.033740
107	0.033739
108	0.033738
109	0.033737
110	0.033736
111	0.033735
112	0.033733
113	0.033732
114	0.033731
115	0.033730
116	0.033729
117	0.033728
118	0.033727
119	0.033726
120	0.033724
121	0.033723
122	0.033722
123	0.033721
124	0.033720
125	0.033719
126	0.033718
127	0.033717
128	0.033715
129	0.033714
130	0.033713
131	0.033712
132	0.033711
133	0.033710
134	0.033709
135	0.033708
136	0.033706
137	0.033705
138	0.033704
139	0.033703
140	0.033702
141	0.033701
142	0.033700
143	0.033698
144	0.033697
145	0.033696
146	0.033695
147	0.033694
148	0.033693
149	0.033692
150	0.033690
151	0.033689
152	0.033688
153	0.033687
154	0.033686
155	0.033685
156	0.033684
157	0.033682
158	0.033681
159	0.033680
160	0.033679
161	0.033678
162	0.033677
163	0.033675
164	0.033674
165	0.033673
166	0.033672
167	0.033671
